,AirT,AirCO2,AirRH,AirPAR,method
0,15.14,671.83,94.57,75.60000000000002,Human
1,14.6,682.2,94.92,75.57900000000002,Human
2,13.91,683.69,95.65,75.60000000000002,Human
3,13.46,699.7,96.76,75.57900000000002,Human
4,13.04,718.63,97.07,75.60000000000002,Human
5,13.06,725.42,97.92,75.55799999999998,Human
6,14.17,705.43,97.32,80.325,Human
7,17.26,639.71,94.63,107.14200000000001,Human
8,21.45,514.87,80.1,150.549,Human
9,26.04,461.75,44.64,254.793,Human
10,25.6,466.07,43.07,239.4,Human
11,27.12,462.79,43.07,321.909,Human
12,25.73,469.12,45.03,225.393,Human
13,24.34,473.53,47.44,213.234,Human
14,24.98,471.75,47.9,235.179,Human
15,22.91,478.45,49.57,152.145,Human
16,22.84,477.43,47.28,140.49,Human
17,20.67,486.99,48.12,96.096,Human
18,19.41,496.89,59.25,77.07000000000002,Human
19,18.3,537.53,77.84,75.62100000000002,Human
20,17.59,568.28,79.33,75.57900000000002,Human
21,17.16,570.25,81.13,75.57900000000002,Human
22,16.92,565.07,80.34,75.57900000000002,Human
23,16.74,574.98,83.76,75.60000000000002,Human
24,16.61,586.58,84.87,75.57900000000002,Human
25,16.36,610.28,90.29,75.60000000000002,Human
26,16.15,642.14,94.12,75.57900000000002,Human
27,16.02,679.68,97.29,75.55799999999998,Human
28,15.84,711.7,97.94,75.57900000000002,Human
29,14.95,606.98,95.62,75.55799999999998,Human
30,14.03,523.73,95.57,75.57900000000002,Human
31,14.23,535.15,97.96,75.768,Human
32,15.07,552.03,97.79,86.016,Human
33,16.03,534.72,97.22,91.896,Human
34,16.85,481.25,96.49,104.811,Human
35,17.58,433.4,95.77,105.04200000000002,Human
36,19.57,387.01,92.94,143.32500000000005,Human
37,19.29,365.45,92.78,115.311,Human
38,18.42,372.82,93.63,108.78,Human
39,17.24,400.98,95.86,87.738,Human
40,17.27,415.2,95.98,98.385,Human
41,17.6,404.99,95.59,100.54800000000002,Human
42,17.52,407.31,96.01,86.39399999999998,Human
43,16.19,458.04,97.8,75.60000000000002,Human
44,14.98,523.4,99.57,75.60000000000002,Human
45,14.15,577.82,99.96,75.55799999999998,Human
46,13.79,621.24,100.0,75.53699999999998,Human
47,13.62,658.23,100.0,75.55799999999998,Human
48,13.22,685.93,100.0,75.57900000000002,Human
49,13.16,711.45,100.0,75.55799999999998,Human
50,13.4,735.89,100.0,75.53699999999998,Human
