,AirT,AirCO2,AirRH,AirPAR,method
0,15.4,664.69,68.92,,Human
1,15.08,679.74,70.88,,Human
2,14.72,692.52,72.85,,Human
3,14.43,702.25,74.62,,Human
4,14.11,706.84,76.62,,Human
5,13.64,710.82,78.92,,Human
6,13.69,712.38,79.44,,Human
7,19.69,658.56,61.17,,Human
8,26.05,444.65,31.84,,Human
9,26.3,398.11,23.84,,Human
10,26.48,397.86,23.73,,Human
11,25.21,402.33,26.39,,Human
12,24.34,402.18,27.74,,Human
13,22.68,409.96,33.18,,Human
14,23.17,416.6,34.51,,Human
15,23.4,420.26,31.13,,Human
16,21.99,434.85,38.47,,Human
17,17.92,472.95,54.01,,Human
18,17.7,518.38,57.66,,Human
19,17.22,553.02,61.49,,Human
20,16.46,582.31,65.06,,Human
21,15.85,606.39,67.74,,Human
22,15.37,627.17,69.9,,Human
23,14.92,643.9,71.91,,Human
72,14.97,680.08,73.93,,Human
73,14.56,694.55,75.85,,Human
74,14.14,707.0,77.87,,Human
75,13.75,716.22,79.55,,Human
76,13.36,722.22,81.21,,Human
77,13.01,729.38,82.82,,Human
78,13.27,728.14,83.21,,Human
79,20.52,682.88,61.95,,Human
80,25.1,474.3,36.05,,Human
81,25.83,431.19,28.86,,Human
82,28.76,414.74,21.93,,Human
83,30.5,408.96,19.5,,Human
84,32.12,412.81,18.99,,Human
85,32.58,412.43,17.85,,Human
86,30.79,414.24,16.36,,Human
87,25.11,416.22,18.6,,Human
88,23.79,417.18,20.64,,Human
89,21.25,446.44,35.76,,Human
90,20.97,493.15,45.56,,Human
91,20.51,541.12,50.81,,Human
92,19.71,586.34,55.91,,Human
93,19.1,621.46,59.93,,Human
94,18.5,648.72,63.34,,Human
95,17.97,674.23,66.15,,Human
120,17.54,696.6,68.53,,Human
121,17.12,710.12,70.6,,Human
122,16.72,726.49,72.56,,Human
123,16.35,735.06,74.24,,Human
124,15.98,736.11,76.74,,Human
125,15.55,741.27,79.37,,Human
126,15.56,740.22,80.64,,Human
127,22.9,627.04,53.99,,Human
128,25.6,412.23,28.69,,Human
