,AirT,AirCO2,AirRH,AirPAR,method
0,20.21,677.89,65.1,80.91300000000003,Human
1,17.45,721.33,86.91,75.55799999999998,Human
2,15.91,784.48,95.42,75.55799999999998,Human
3,15.01,841.97,96.67,75.60000000000002,Human
4,14.54,869.67,97.11,75.516,Human
5,14.22,885.84,97.63,75.53699999999998,Human
6,13.92,894.57,98.33,75.53699999999998,Human
7,13.62,932.61,98.85,75.57900000000002,Human
8,13.36,966.85,99.25,75.55799999999998,Human
9,12.87,1003.57,99.37,75.47399999999998,Human
10,12.91,996.96,99.82,75.516,Human
11,14.32,962.7,98.16,85.554,Human
12,19.79,828.52,87.03,111.15299999999999,Human
13,23.12,684.51,68.51,172.49400000000003,Human
14,31.61,641.79,56.11,308.952,Human
15,34.52,623.66,52.83,418.614,Human
16,32.83,634.14,50.74,494.844,Human
17,31.93,634.99,52.05,637.35,Human
18,33.35,615.17,49.13,538.65,Human
19,33.8,582.51,46.18,525.462,Human
20,34.24,586.07,43.93,403.851,Human
21,31.94,589.95,44.7,274.449,Human
22,26.5,595.43,49.19,152.54399999999995,Human
23,21.44,607.35,52.26,92.106,Human
24,19.34,612.45,50.96,76.86,Human
25,16.59,633.77,68.19,75.57900000000002,Human
26,14.5,685.77,83.92,75.55799999999998,Human
27,14.19,662.88,87.16,75.495,Human
28,14.54,645.7,91.31,75.53699999999998,Human
29,14.03,660.63,94.61,75.53699999999998,Human
30,13.58,673.52,96.85,75.53699999999998,Human
31,13.46,711.37,97.3,75.55799999999998,Human
32,14.07,678.46,95.33,75.516,Human
33,14.36,691.49,94.72,75.55799999999998,Human
34,14.1,702.61,95.9,75.516,Human
35,15.14,668.86,94.51,81.711,Human
36,16.14,638.93,89.23,87.19200000000002,Human
37,16.88,619.01,86.11,107.52,Human
38,18.32,622.22,85.21,120.12,Human
39,16.31,623.77,94.15,88.179,Human
40,16.78,598.69,97.1,92.29500000000002,Human
41,17.45,580.25,95.54,98.238,Human
42,18.77,577.24,92.95,123.711,Human
43,20.12,529.31,92.44,126.063,Human
44,20.64,493.98,93.2,114.87,Human
45,21.05,499.32,92.31,108.339,Human
46,19.39,562.54,94.36,88.2,Human
47,18.45,580.72,95.63,78.687,Human
48,17.13,610.26,96.9,75.55799999999998,Human
49,15.59,653.31,98.32,75.57900000000002,Human
50,14.62,701.56,99.73,75.55799999999998,Human
51,13.62,747.52,99.55,75.55799999999998,Human
52,12.51,786.5,99.46,75.53699999999998,Human
53,11.64,812.28,99.64,75.516,Human
54,11.1,826.43,99.83,75.516,Human
55,10.7,832.11,99.94,75.47399999999998,Human
56,10.49,830.75,100.0,75.495,Human
57,10.17,842.3,100.0,75.516,Human
58,10.21,836.86,100.0,75.516,Human
59,12.08,764.9,99.27,85.76400000000002,Human
60,18.73,607.46,90.08,114.219,Human
61,26.65,569.43,65.39,192.864,Human
62,31.43,578.63,57.92,300.384,Human
63,33.59,596.31,58.64,420.29400000000004,Human
64,34.9,576.01,58.5,485.184,Human
65,34.54,572.67,59.53,616.4340000000002,Human
66,35.37,573.04,53.29,519.393,Human
67,37.14,570.69,51.23,531.72,Human
68,36.69,574.76,52.32,404.31300000000016,Human
69,31.82,601.15,54.66,283.962,Human
70,27.3,608.91,55.97,172.78799999999995,Human
71,22.82,618.67,60.85,102.522,Human
72,19.68,619.86,69.08,76.35600000000002,Human
73,17.03,624.88,80.67,75.55799999999998,Human
74,15.42,637.3,89.91,75.55799999999998,Human
75,14.16,690.44,95.65,75.55799999999998,Human
76,13.86,680.15,97.53,75.55799999999998,Human
77,13.74,683.32,97.52,75.53699999999998,Human
78,13.59,676.91,98.25,75.55799999999998,Human
79,13.15,688.97,98.0,75.57900000000002,Human
80,12.73,702.76,98.48,75.516,Human
81,12.47,693.92,99.0,75.55799999999998,Human
82,12.41,693.12,99.26,75.55799999999998,Human
83,14.32,643.47,98.01,82.34100000000002,Human
84,20.29,597.59,82.3,112.77,Human
85,25.8,593.99,53.99,193.431,Human
86,30.07,589.09,45.66,300.216,Human
87,31.41,591.41,44.18,427.917,Human
88,31.28,591.4,44.97,477.015,Human
89,31.41,596.7,45.68,598.4159999999998,Human
90,32.73,593.99,44.83,487.76700000000005,Human
91,33.61,593.23,44.62,498.771,Human
92,32.91,595.83,43.95,395.997,Human
93,30.61,599.92,45.58,289.737,Human
94,27.1,610.28,48.02,155.94600000000003,Human
95,23.4,613.21,50.12,84.462,Human
96,21.91,612.74,53.35,78.93900000000002,Human
97,20.35,617.36,52.78,75.57900000000002,Human
98,18.76,623.37,59.9,75.60000000000002,Human
99,17.29,628.28,65.85,75.55799999999998,Human
100,17.38,614.45,59.54,75.55799999999998,Human
101,17.19,615.63,61.53,75.60000000000002,Human
102,16.71,616.25,64.46,75.53699999999998,Human
103,16.49,617.24,64.49,75.60000000000002,Human
104,16.25,618.56,64.52,75.60000000000002,Human
105,15.96,621.52,65.8,75.55799999999998,Human
106,15.8,617.43,68.7,75.55799999999998,Human
107,16.13,608.81,71.78,78.35100000000001,Human
108,19.57,594.21,66.26,109.074,Human
109,25.88,603.03,48.71,188.517,Human
110,28.65,592.63,46.67,249.585,Human
111,30.17,589.03,45.45,392.91,Human
112,32.1,587.27,47.74,453.663,Human
113,32.03,587.99,51.71,510.888,Human
114,33.07,587.5,51.52,457.233,Human
115,33.17,588.52,50.51,447.36300000000006,Human
116,32.03,596.06,50.98,347.99100000000016,Human
117,29.49,604.97,55.2,240.954,Human
118,26.64,611.98,58.36,153.3,Human
119,24.13,617.47,62.16,113.484,Human
120,21.93,624.58,66.18,75.873,Human
121,20.62,621.86,68.04,75.62100000000002,Human
122,19.53,622.22,71.41,75.64200000000002,Human
123,18.23,631.69,78.6,75.60000000000002,Human
124,17.24,629.85,81.14,75.60000000000002,Human
125,16.47,629.93,82.14,75.55799999999998,Human
126,15.93,627.21,83.5,75.57900000000002,Human
127,15.31,634.71,87.23,75.60000000000002,Human
128,14.75,644.1,90.68,75.57900000000002,Human
129,14.38,648.56,92.82,75.57900000000002,Human
130,14.2,648.05,95.01,75.55799999999998,Human
131,15.51,616.25,91.89,84.48299999999998,Human
132,20.61,595.62,74.89,143.556,Human
133,20.48,600.97,70.04,144.69000000000003,Human
134,23.74,594.79,64.85,229.068,Human
135,28.09,582.3,57.13,324.9120000000001,Human
136,25.53,587.51,60.77,238.47600000000003,Human
137,22.79,593.84,65.07,196.95900000000003,Human
138,21.22,596.07,67.13,148.911,Human
139,18.74,597.13,78.81,99.834,Human
140,17.22,599.59,89.07,83.03399999999998,Human
141,16.54,603.15,94.23,78.12,Human
142,17.03,603.41,96.42,80.031,Human
143,16.98,609.01,96.06,76.65,Human
144,16.33,617.2,95.46,75.57900000000002,Human
145,15.59,622.34,95.53,75.55799999999998,Human
146,15.03,622.8,96.85,75.55799999999998,Human
147,14.83,626.82,97.11,75.55799999999998,Human
148,14.24,609.78,95.85,75.55799999999998,Human
149,13.58,601.2,95.94,75.55799999999998,Human
150,13.24,598.96,94.06,75.55799999999998,Human
151,13.32,598.66,90.39,75.55799999999998,Human
152,13.42,599.24,85.37,75.57900000000002,Human
153,12.82,600.37,86.25,75.53699999999998,Human
154,11.89,600.88,90.35,75.53699999999998,Human
155,12.69,592.19,90.69,78.66600000000003,Human
156,18.31,574.94,81.26,102.228,Human
157,24.94,564.59,63.52,200.235,Human
158,29.69,560.24,55.51,326.88599999999997,Human
159,31.5,558.52,55.39,455.301,Human
160,31.2,557.56,57.07,507.15,Human
161,31.91,560.08,59.23,649.341,Human
162,33.37,562.79,56.66,611.898,Human
163,35.13,561.08,54.25,547.974,Human
164,34.37,563.07,51.14,407.001,Human
165,31.92,569.48,52.02,306.747,Human
166,27.63,586.27,50.29,181.77599999999998,Human
167,24.73,600.04,49.0,127.596,Human
168,21.59,610.5,50.56,79.98899999999998,Human
169,18.45,639.01,68.03,75.60000000000002,Human
170,16.47,693.98,89.05,75.57900000000002,Human
171,15.19,723.93,91.3,75.55799999999998,Human
172,14.67,706.89,94.37,75.60000000000002,Human
173,14.59,657.06,95.63,75.57900000000002,Human
174,14.58,653.38,96.74,75.57900000000002,Human
175,14.96,630.22,93.65,75.57900000000002,Human
176,15.01,603.08,93.06,75.55799999999998,Human
177,14.94,596.87,92.34,75.60000000000002,Human
178,15.2,597.22,93.04,75.60000000000002,Human
179,15.54,579.16,95.13,75.57900000000002,Human
180,15.63,586.0,97.48,75.60000000000002,Human
181,16.07,580.55,98.92,76.797,Human
182,17.12,557.24,98.73,91.791,Human
183,19.62,498.9,94.96,144.417,Human
184,24.78,492.49,75.28,294.798,Human
185,27.15,489.86,67.13,490.014,Human
186,28.0,500.69,62.56,544.572,Human
187,27.61,506.0,62.87,401.31,Human
188,30.39,501.24,58.92,335.43300000000005,Human
189,25.29,523.69,61.64,255.46500000000003,Human
190,22.25,529.19,67.5,154.14,Human
191,19.2,529.66,80.09,106.932,Human
192,17.74,535.8,81.66,77.175,Human
193,16.01,535.09,85.79,75.57900000000002,Human
194,14.87,536.63,89.2,75.55799999999998,Human
195,14.13,538.44,90.71,75.55799999999998,Human
196,13.66,539.24,91.55,75.57900000000002,Human
197,13.38,537.97,92.23,75.53699999999998,Human
198,13.2,537.93,92.05,75.53699999999998,Human
199,13.02,539.81,92.98,75.55799999999998,Human
200,13.11,541.24,93.23,75.55799999999998,Human
201,13.22,541.4,92.78,75.55799999999998,Human
202,13.56,547.09,94.51,75.57900000000002,Human
203,14.88,544.63,96.9,83.391,Human
204,16.85,523.31,94.49,90.321,Human
205,18.38,510.73,91.66,117.978,Human
206,18.95,514.87,89.43,109.767,Human
207,18.74,518.12,90.28,106.869,Human
208,19.71,517.63,88.85,142.191,Human
209,23.21,525.52,75.81,190.89,Human
210,26.47,533.53,70.17,350.30100000000016,Human
211,29.73,537.31,62.03,388.038,Human
212,30.45,531.0,57.54,359.91900000000015,Human
213,28.82,532.49,59.37,258.594,Human
214,26.16,531.97,64.44,166.55100000000004,Human
215,22.81,535.71,71.18,104.66400000000002,Human
216,20.27,539.76,78.4,77.15400000000002,Human
217,18.06,553.42,87.19,75.57900000000002,Human
218,17.24,567.33,91.86,75.55799999999998,Human
219,16.71,586.2,95.68,75.516,Human
220,15.89,576.34,96.56,75.53699999999998,Human
221,14.54,595.82,96.25,75.53699999999998,Human
222,14.19,539.88,82.7,75.55799999999998,Human
223,13.01,562.98,89.26,75.53699999999998,Human
224,11.88,575.76,92.86,75.516,Human
225,11.27,602.29,96.04,75.516,Human
226,11.16,579.92,96.1,75.55799999999998,Human
227,12.81,535.26,94.62,78.51899999999998,Human
228,18.71,494.55,81.6,100.884,Human
229,25.84,503.04,60.01,195.615,Human
230,30.86,499.49,50.48,319.89300000000014,Human
231,32.41,500.37,50.5,459.48,Human
232,31.75,496.2,53.78,484.617,Human
233,31.56,500.98,55.21,631.827,Human
234,32.59,500.86,54.46,519.729,Human
235,33.4,505.41,51.86,501.963,Human
236,33.15,507.37,50.3,379.848,Human
237,31.64,507.84,51.37,281.022,Human
238,26.99,518.42,61.58,179.40300000000005,Human
239,22.44,530.54,61.59,104.706,Human
240,20.28,537.21,61.71,78.54,Human
241,17.98,559.97,71.55,75.57900000000002,Human
242,16.07,611.15,89.22,75.55799999999998,Human
243,15.04,654.47,94.52,75.60000000000002,Human
244,14.35,667.91,94.75,75.516,Human
245,13.64,675.52,95.0,75.55799999999998,Human
246,13.2,691.24,96.06,75.55799999999998,Human
247,12.88,704.12,96.58,75.516,Human
248,12.62,712.75,97.22,75.53699999999998,Human
249,12.61,722.75,98.32,75.55799999999998,Human
250,13.11,704.31,99.27,75.55799999999998,Human
251,14.38,645.92,98.61,81.52199999999998,Human
252,18.98,563.83,89.12,121.8,Human
253,25.0,553.56,68.77,193.53599999999997,Human
254,31.17,551.61,56.08,304.311,Human
255,33.95,529.21,51.51,425.41800000000006,Human
256,34.33,515.94,53.1,434.42699999999996,Human
257,33.57,508.24,56.76,587.1179999999998,Human
258,34.25,511.48,55.5,479.32500000000016,Human
259,35.34,506.91,52.51,502.59300000000013,Human
260,35.35,504.11,49.71,348.81,Human
261,31.02,507.23,54.35,251.937,Human
262,27.81,520.92,53.35,160.41899999999995,Human
263,24.54,532.06,54.24,101.451,Human
264,21.46,547.57,60.92,75.95700000000002,Human
265,18.55,605.86,78.24,75.55799999999998,Human
266,16.76,660.69,88.45,75.57900000000002,Human
267,15.86,695.46,93.33,75.60000000000002,Human
268,15.17,711.81,94.17,75.57900000000002,Human
269,14.66,720.27,94.44,75.55799999999998,Human
270,14.47,720.48,95.05,75.57900000000002,Human
271,13.76,704.2,94.92,75.55799999999998,Human
272,13.29,690.22,95.91,75.57900000000002,Human
273,12.98,701.23,97.11,75.55799999999998,Human
274,12.99,675.71,97.81,75.53699999999998,Human
275,14.64,619.67,97.57,80.09400000000002,Human
276,20.3,565.38,85.94,108.675,Human
277,27.51,570.13,64.25,191.436,Human
278,33.87,578.49,54.28,299.439,Human
279,33.6,571.09,57.08,333.01800000000014,Human
280,34.49,518.66,56.23,470.337,Human
281,34.88,500.99,55.23,555.1139999999998,Human
282,35.51,496.75,55.03,473.52900000000005,Human
283,35.51,497.77,54.12,438.963,Human
284,34.61,494.53,54.61,351.98100000000005,Human
285,31.79,494.52,60.14,210.77700000000002,Human
286,28.93,496.74,67.33,144.83700000000005,Human
287,25.55,519.93,70.3,101.409,Human
288,24.2,538.75,72.69,84.525,Human
289,20.83,612.44,82.58,77.49,Human
290,18.39,672.49,90.09,77.406,Human
291,18.52,608.22,82.73,77.406,Human
292,19.27,573.28,74.17,77.46900000000002,Human
293,18.45,581.68,70.49,77.553,Human
294,17.41,640.55,80.63,77.46900000000002,Human
295,16.12,680.34,91.11,77.322,Human
296,15.55,675.01,95.07,77.301,Human
297,15.68,638.57,96.82,77.259,Human
298,15.96,607.17,97.32,77.259,Human
299,17.61,557.61,93.92,84.16799999999998,Human
300,20.87,528.19,85.15,111.447,Human
301,21.89,528.11,72.74,114.177,Human
