,AirT,AirCO2,AirRH,AirPAR,method
0,16.19,458.04,97.8,75.60000000000002,Human
1,14.98,523.4,99.57,75.60000000000002,Human
2,14.15,577.82,99.96,75.55799999999998,Human
3,13.79,621.24,100.0,75.53699999999998,Human
4,13.62,658.23,100.0,75.55799999999998,Human
5,13.22,685.93,100.0,75.57900000000002,Human
6,13.16,711.45,100.0,75.55799999999998,Human
7,13.4,735.89,100.0,75.53699999999998,Human
8,13.3,749.13,100.0,75.60000000000002,Human
9,13.28,780.33,100.0,75.55799999999998,Human
10,13.33,806.74,100.0,75.55799999999998,Human
11,13.66,807.98,100.0,75.53699999999998,Human
12,14.43,777.79,100.0,76.67099999999998,Human
13,15.37,712.73,99.7,88.03200000000002,Human
14,16.63,631.72,98.31,103.32,Human
15,20.68,505.66,90.81,191.646,Human
16,21.16,506.45,84.83,152.67000000000004,Human
17,21.02,516.06,85.12,188.769,Human
18,22.41,514.36,80.82,196.308,Human
19,24.21,499.19,76.03,232.134,Human
20,22.53,517.79,79.3,164.80800000000005,Human
21,23.23,510.06,76.73,168.42000000000004,Human
22,19.6,545.15,86.85,89.75399999999998,Human
23,19.04,560.97,95.42,85.34400000000002,Human
24,18.18,571.17,95.78,75.999,Human
25,16.05,622.86,98.33,75.55799999999998,Human
26,15.28,665.56,99.67,75.57900000000002,Human
27,14.98,691.89,100.0,75.60000000000002,Human
28,14.5,699.82,99.99,75.55799999999998,Human
29,14.17,706.37,100.0,75.55799999999998,Human
30,13.49,731.53,99.99,75.55799999999998,Human
31,13.47,752.3,100.0,75.55799999999998,Human
32,13.3,757.13,100.0,75.57900000000002,Human
33,12.94,763.69,100.0,75.55799999999998,Human
34,12.42,776.74,100.0,75.55799999999998,Human
35,13.15,787.55,99.18,82.69800000000002,Human
36,18.48,709.33,91.17,115.878,Human
37,24.79,545.38,69.42,187.97100000000003,Human
38,28.19,544.03,63.08,274.323,Human
39,29.81,538.47,61.84,427.098,Human
40,32.62,523.64,57.89,504.609,Human
41,32.43,522.44,50.7,617.841,Human
42,32.63,525.34,47.36,505.176,Human
43,31.57,531.92,44.02,496.146,Human
44,29.87,538.63,44.01,378.42,Human
45,26.74,542.97,43.55,224.7,Human
46,23.97,541.54,37.62,145.299,Human
47,21.17,540.4,38.09,92.736,Human
48,18.43,541.51,44.84,75.66300000000003,Human
49,17.09,542.77,48.77,75.60000000000002,Human
50,15.68,546.03,54.44,75.60000000000002,Human
51,14.26,550.46,60.11,75.60000000000002,Human
52,13.61,546.8,60.69,75.55799999999998,Human
53,12.42,552.24,66.7,75.57900000000002,Human
54,11.58,666.17,96.03,75.57900000000002,Human
55,11.24,666.64,96.66,75.57900000000002,Human
56,11.05,645.9,97.16,75.57900000000002,Human
57,10.63,630.34,97.55,75.53699999999998,Human
58,10.36,624.24,98.02,75.53699999999998,Human
59,11.57,599.94,96.17,78.834,Human
60,18.63,532.29,82.69,103.068,Human
61,24.73,512.25,59.42,188.24400000000003,Human
