,AirT,AirCO2,AirRH,AirPAR,method
0,19.1,517.19,93.86,108.507,Human
1,21.58,470.7,87.9,148.344,Human
2,19.31,535.8,88.9,107.85600000000001,Human
3,19.41,525.93,94.12,92.463,Human
4,18.31,546.96,95.89,78.498,Human
5,17.02,597.06,98.16,75.53699999999998,Human
6,16.2,651.63,99.49,75.55799999999998,Human
7,15.78,700.82,99.93,75.55799999999998,Human
8,15.51,739.65,100.0,75.516,Human
9,15.28,766.58,100.0,75.55799999999998,Human
10,15.16,789.35,100.0,75.55799999999998,Human
11,15.0,807.95,100.0,75.53699999999998,Human
12,14.8,830.65,100.0,75.53699999999998,Human
13,14.73,852.7,100.0,75.55799999999998,Human
14,14.83,879.5,100.0,75.55799999999998,Human
15,14.82,904.45,100.0,75.495,Human
16,15.27,912.9,100.0,77.44800000000002,Human
17,17.98,858.12,98.07,97.671,Human
18,20.0,759.21,95.05,121.422,Human
19,20.64,556.55,81.7,153.174,Human
20,23.86,537.52,73.54,243.68400000000003,Human
21,22.21,551.91,73.85,158.004,Human
22,19.28,561.94,83.91,121.67399999999999,Human
23,19.57,558.37,89.27,114.912,Human
24,23.71,541.89,75.8,194.20800000000003,Human
25,23.24,553.41,69.83,203.40599999999998,Human
26,24.94,549.55,65.59,206.59799999999998,Human
27,21.69,563.71,71.89,118.209,Human
28,19.15,585.26,82.53,77.406,Human
29,18.27,624.26,94.79,75.57900000000002,Human
30,17.56,659.99,97.31,75.60000000000002,Human
31,17.06,692.24,98.52,75.57900000000002,Human
32,16.62,708.65,98.59,75.57900000000002,Human
33,16.15,729.94,99.15,75.57900000000002,Human
34,16.0,732.05,99.78,75.55799999999998,Human
35,15.88,743.67,99.97,75.57900000000002,Human
36,15.77,782.53,100.0,75.60000000000002,Human
37,15.7,819.56,100.0,75.55799999999998,Human
38,15.65,843.21,100.0,75.57900000000002,Human
39,15.43,778.04,100.0,75.55799999999998,Human
40,15.43,730.39,100.0,75.57900000000002,Human
41,16.06,664.1,99.84,88.76700000000002,Human
42,20.57,563.93,88.54,159.68400000000003,Human
43,23.78,550.4,75.47,221.92800000000003,Human
44,30.87,530.28,62.77,378.609,Human
45,34.1,534.26,57.14,429.70200000000006,Human
46,30.78,556.8,59.77,399.882,Human
47,32.77,545.64,54.07,429.345,Human
48,33.33,546.54,50.1,478.233,Human
49,32.9,549.93,47.34,390.096,Human
50,29.85,556.2,46.6,255.654,Human
51,25.66,565.37,46.31,160.566,Human
52,23.38,565.44,46.69,110.796,Human
53,19.08,591.1,67.7,76.251,Human
54,16.25,638.93,87.57,75.55799999999998,Human
55,14.97,687.1,92.5,75.55799999999998,Human
56,14.42,748.45,95.06,75.53699999999998,Human
57,14.13,799.17,96.21,75.55799999999998,Human
58,14.18,852.68,97.29,75.516,Human
59,14.26,900.44,98.09,75.57900000000002,Human
60,14.28,932.57,98.79,75.55799999999998,Human
61,14.22,931.84,99.3,75.60000000000002,Human
62,14.11,951.05,99.67,75.55799999999998,Human
63,14.14,955.18,99.96,75.57900000000002,Human
64,14.54,940.96,100.0,75.55799999999998,Human
65,15.17,919.3,99.99,75.57900000000002,Human
66,15.98,858.84,99.16,79.947,Human
67,16.78,800.62,98.44,89.22900000000001,Human
68,19.12,711.11,95.71,115.941,Human
69,20.81,592.1,93.82,117.411,Human
70,19.42,554.7,94.56,95.00399999999999,Human
71,18.11,545.23,96.03,94.647,Human
72,18.07,524.51,96.6,102.228,Human
73,18.89,484.92,95.59,110.838,Human
74,18.13,481.41,96.9,90.657,Human
75,16.89,527.37,98.62,77.49,Human
